coin,Type,Network,Snapshot Height,address,amount,message,signature1,signature2,redeem script/ public key,EOA1,EOA2
BTC,Non Staking,BTC,961893,13jTtHxBPFwZkaCdm6BwJMMJkqvTpBZccw,3000.00009302,I am an OKX address,IPUTSOQjXrOLy7WXyalVeuIpTlvQENsSjdjNETlvTNo+MB6LDF22NpGR9ragpCV8GnyyxXibUTgtrFjqR4A4acU=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,14kHu26yWkVD8qAnBfcFXHXxgquNoSpKum,3000.00011487,I am an OKX address,INHMAbkKcAaFe3B3Bmqzd2hh/DaKnyUPN3BsnX/KyEEdbxzAgFMxm5DUrwIOEPBfJvzoh88NcvgVVCet2/KqcIo=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,15Exz1BAVan4Eweagy1rcPJnfyc6KJ4GvL,3000.00010396,I am an OKX address,IGqJ5qN0kBjcYVebW3SBEfejibpEfBzcf4REDKpgsI9XXj2mAxsaO8it/iuu09ObNvDgba9mlAvfy0XiSGK8I14=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,6100.99349067,I am an OKX address,IIezoRdyrYMAJwJfsUWW17WVUJBOQ4+XGxrQfciKhXwYK5CCedL6zXjfDDh9x2SFeWCQTwHMop3av4ZfCwEd4xc=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,178E8tYZ5WJ6PpADdpmmZd67Se7uPhJCLX,6000.00013176,I am an OKX address,H0zo5xVvW7RpfPuS6hb8YnDJTw1gYX5392VM0HO7CQdGTspJu7QqxVuGSZXPdoyIrDE2MzFwSujY0+YuO9uLVcw=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,18QUDxjDZAqAJorr4jkSEWHUDGLBF9uRCc,3000.00052745,I am an OKX address,IKsaKeC0NkIMsaBNCkLTqr5UdwUWXyTLRTC/eBvNMUupWB0lhJhYNKyI/lLzKit0chbIkv2XXu0g+7p3eCzDyjo=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1BsdDaJtgFZrLfzEXvh6cD4VhtHHSHhMea,6000.00013721,I am an OKX address,IDOOaY0m3gtPJmN4MtCO3Kfx5m54BZcsOus/oPf7RRoTLk480yrgy92YrdKmIMl2mNIAIClT+s12DZfdBzkLJVk=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1CE8chGD6Nu8qjcDF2uR1wMKyoWb8Kyxwz,3000.00009301,I am an OKX address,H0I/yonMxERcM+FERHqY3svQLJBjT25zKQpfAozr8oFvbaFSVOn7YxKAFx+uzXzQAv03+U9yrb7G9aa1Hd8i/1s=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,10000.00037200,I am an OKX address,H+/kLQV4WdtQA61dYEHQe3OmW74hJpkOtWLBg0982WXGbkLgAei0Ush3wXzC8ULUmqalDHtj+V3GzzWzk169Nug=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1DVTB9YKi4KNjyEbAHPp17T8R1Pp17nSmA,3000.00010854,I am an OKX address,H2c4mDhpU9UzEY808WTfh6wcyFwIp4O2GrTUvgzpTgJjeef4V7vW5LTRSDNfB2ehl2AxK/ND3xpaDC5lFJ43eCM=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1DnHx95d2t5URq2SYvVk6kxGryvTEbTnTs,3000.00010449,I am an OKX address,IO1W8ZXi+8ea/KgjOYQGNyFQZ6s10VyaKdVbePwesDDhGEObAjreOt9rp0Vg2MZC5644u8eqf8xbI4L3d7CDIxc=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,961893,1FY6RL8Ju9b6CGsHTK68yYEcnzUasufyCe,6000.00015362,I am an OKX address,IOvX6vAbIx3ztJi6d0/mmf94KyX54wuaf5dogMeZNNQtMyedBXoIeI/XHrYVi/xU/Ny2EM9P1YOAbd15IvnQw2g=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
